Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Crying Out in Love	2016	romance	Kwak Jae-yong	Ou Hao, Zhang Huiwen, Yang Zi, Yao Lu, Wang Zhi, Gao Taiyu, Li Qinqin, Yang Tongshu, Liu Chao, Wen Xin, Deng Xin	"In 2008, Xia Ye receives a mysterious package from the Post Office of the Future, which contains audio cassettes from the late 1990s and an old cassette player. She listens to them on the train to Qingdao and hears the voice of the 17-year-old Ke Da. Back in the hot summer of 1997, Ke Da had fallen for Xia Ye during their senior year at high school, and the two had expressed their feelings to each other via audio cassettes. Li Fusheng, a guy who Ke Da met at swimming classes, runs the Post Office for the future, accepting messages for the living or the dead to be delivered sometime in the future. He believed that the dead live on at the Centre of the World, where they meet because of love.
Arriving in Qingdao, Xia Ye visits the Post Office of the Future, which is now run by Sun Jiaolian. There, Sun tells Xia Ye about how she was hospitalized and eventually died of leukemia. Meanwhile, Ke Da has also travelled down to Qingdao and been listening to some old audio cassettes he also received. Gradually, the mystery of why Xia Ye and Ke Da received the old audio cassettes is solved."	Chinese
Dirty Dancing	1987	romance	Emile Ardolino	Patrick Swayze, Jennifer Grey, Jerry Orbach, Cynthia Rhodes, Jack Weston	"In the summer of 1963, 17-year-old Frances ""Baby"" Houseman is vacationing with her family at Kellerman's,[5] a resort in the Catskill Mountains. Baby, the younger of two daughters, plans to study economics in underdeveloped countries and enter the Peace Corps. Her father, Jake, is the doctor and friend of Max Kellerman, the resort proprietor. Baby develops a crush on the resort's dance instructor, Johnny Castle, and meets his cousin, Billy. The staff holds secret after-hours parties in their quarters, and Baby is surprised by their ""dirty dancing"". Intrigued, Baby receives a brief, impromptu dance lesson from Johnny.
Baby discovers that Johnny's dance partner, Penny Johnson, is pregnant by Robbie Gould, a womanizing waiter who is cheating on Baby's older sister, Lisa. Baby borrows money from her father to pay for Penny's illegal abortion without explaining why. Penny eventually accepts the money but identifies another issue. Penny will miss her weekly dance performance if she goes for the abortion, forfeiting Penny's and Johnny's salary for the season. Billy suggests that Baby fill in for her. Johnny's scoffing overcomes Baby's initial resistance. Billy and Penny insist that Johnny can teach anyone to dance. Johnny teaches Baby the mambo, and the two spend several awkward practice sessions together. Baby gradually improves, and they develop a romantic attraction.
Billy takes Penny to an abortionist. Johnny's and Baby's performance is mostly successful, although Baby is too nervous to accomplish the dance's climactic lift. Johnny and Baby return to Kellerman's and find Penny in agony. Billy explains that the ""doctor"" turned out to be a back-alley hack. Baby brings her father to help Penny. Johnny claims responsibility for her pregnancy out of fear that Penny will be fired if her relationship with Robbie is revealed. Jake treats Penny but forbids Baby from associating with Johnny or his friends. After Baby apologizes to Johnny for her father's behavior, they dance and have sex. At breakfast, Jake tells his family they will be leaving the resort early but relents when they object. Baby continues to see Johnny despite her father's warning. She pulls Johnny off the footpath when her father is nearby, and Johnny is hurt that she will not stand up for him. After Robbie taunts them, Johnny assaults him.
Due to his growing feelings for Baby, Johnny refuses payment for sex with another guest, Vivian Pressman. Vivian has sex with Robbie in his cabin, and Lisa accidentally interrupts them. When Vivian leaves the cabin the next morning, she sees Baby leave Johnny's cabin. Over breakfast, Max and Neil Kellerman reveal to the Housemans that Moe Pressman's wallet was stolen. Vivian accuses Johnny of the theft in a fit of jealousy. Johnny is unable to provide a verifiable alibi, to protect his relationship with Baby. To save Johnny from being fired, Baby confesses she was with him. Johnny is cleared of the theft after it is revealed that two elderly guests, Mr. and Mrs. Schumacher, stole several guests' wallets. Max fires Johnny anyway for having a fraternizing affair with Baby. Baby and Johnny embrace and bid farewell to each other, saying they will never regret their affair. Baby pointedly apologizes to Jake for lying about her relationship with Johnny but not for the relationship itself.
Baby and her parents watch the end-of-season talent show. Jake gives Robbie a tip in an envelope. Robbie thanks Jake, and reveals that he got Penny pregnant; Jake yanks the envelope back. Staff and guests (including Lisa) are singing the closing song together when Johnny interrupts them to perform the last dance of the season. Johnny leads Baby onstage and makes a brief speech about how ""Frances"" has made him a better man. Baby and Johnny dance a more provocative version of their mambo duet, and the other ""dirty dancers"" join in. Baby runs to Johnny and executes the elusive lift move they practiced. The dirty dancers pull guests from their seats to join in the celebration. Jake apologizes to Johnny for thinking he got Penny pregnant and reconciles with Baby. All dance joyously to ""(I've Had) The Time of My Life""."	American
My Love Story!!	2015	romance	Hayato Kawai	Ryohei Suzuki, Mei Nagano, Kentarō Sakaguchi	"On the day of his graduation from middle school the extremely tall, gorilla like boy Takeo Goda attempts to confess his love to his crush, Kagami, but Kagami instead confesses her love to Takeo's best friend and next door neighbour, the handsome and popular Sunakawa ""Suna"" Makoto, who promptly turns her down.
On the first day in high school every girl is in love with Suna and most of the boys are jealous, except for Takeo, who knows Suna has no feelings for any of them. Suna and Takeo see a girl from another high school being harassed by a molester. Takeo confronts the molester who flees. Takeo sees the girl is crying and, assuming she is scared of him, hurriedly apologises and leaves but the girl follows and thanks him for saving her. Takeo instantly falls in love with her.
Takeo promises to help the Karate club win their championship match. The girl, who had also fallen in love with Takeo, plans to ask him if he has a girlfriend, though when her friends see Takeo with Suna, they automatically assume that the cooler Suna is Takeo and that Takeo must be his older relative. She introduces herself to Takeo as Rinko Yamato and gives Takeo and Suna a cheesecake she baked as a thank you, which Takeo finds delicious. Takeo believes Rinko has fallen in love with Suna and promises to bring Suna to meet her again.
Takeo tries to find the type of girl Suna likes. Suna admits he has never met a truly nice girl. Takeo concludes that as Rinko is a nice person, Suna must like her. Takeo is surprised when Rinko asks if she can call him by his first name. Takeo spends his time training with the Karate club while attempting to bring Suna and Rinko together. Rinko makes more difficult and elaborate sweets hoping to impress Takeo. Suna leaves Takeo and Rinko alone and Takeo tells her stories of their childhood together. Suna admits Rinko may be the first nice girl he has ever met, furthering Takeo's assumption that Suna likes her. After Takeo easily wins the Karate championship Rinko gives him his favourite pork miso onigiri as a reward. When Takeo tells Rinko she should date Suna she runs away. Rinko believes that Takeo sees her as a nuisance and hates her. Suna assures her Takeo has never hated anybody. Rinko admits she is in love with Takeo.
Rinko invites Takeo and Suna on a group date to an amusement park where her friends meet Takeo for the first time. They immediately criticise him behind his back but Rinko defends Takeo who she thinks is cool. In the Haunted House Suna almost tells Takeo that Rinko likes him when Takeo realises the ride is on fire. Trapped by the fire Takeo breaks through the wall to let people escape. A falling coffin almost hurts Rinko but Takeo manages to stop it falling. Rinko tries to help Takeo and when he sees her smiling he manages to throw the coffin by himself and they escape. Suna admits he never had a girlfriend because every girl who confessed to him had insulted Takeo behind his back, whereas Rinko only says nice things. Rinko's friends admit Takeo is cool. Takeo's previous crush, Kagami, works at the theme park, and when she asks if Rinko is his girlfriend Takeo states that such a thing would be impossible, upsetting Rinko.
A depressed Takeo starts performing poorly in sports, while a similarly depressed Rinko bakes numerous cakes nonstop. She learns that Takeo had a crush on Kagami. Takeo meets with Rinko to buy a present for Suna's birthday. Awkward at first they end up enjoying the trip but when they talk about who they both like, Takeo assumes Rinko is talking about Suna, while Rinko thinks Takeo still likes Kagami. They end up promising to help each other with their future relationships. After Suna overhears Takeo talking with his father about love he hatches a plan.
On his birthday Suna tells Takeo Rinko is crying at a bakery when she is actually at home with her friends. Takeo rushes to find her and eventually realises Rinko is not at the bakery, but she had asked the owner to teach her how to make a cake she once gave to him. Following several messages from Suna, Takeo travels to other bakeries and sweet shops, each of which Rinko had visited to learn how to make all the cakes and sweets she gave to him, including the shop where Takeo's mother works to learn how to cook his favourite pork miso onigiri. She had written every recipe in a notebook, including notes on which food Takeo liked best, which Takeo's mother remembered she used to do when she first fell in love with Takeo's father. Takeo slowly realises Rinko had actually liked him the whole time, and with some encouragement from Suna, runs to Rinko's house. Rinko hears Takeo shouting and rushes to meet him and they finally confess they love each other. To thank Suna for his help they throw a birthday party for him with a cake baked by Rinko. Suna ends up laughing hysterically at how similar Takeo and Rinko's personalities are now they are dating.
In an after credits scene in Suna's bedroom Takeo admits that he managed to mess up on holding Rinko's hand for the first time and is worried he will also mess up their first kiss. To keep that from happening he insists on practising kissing with Suna."	Japanese
At the End of Daybreak	2009	romance	Ho Yu Hang	Ho Yu Hang (director); Kara Hui, Tsui Tin Yau, Ng Meng Hui	Tuck (Tsui Tin-Yau) is a 23-year-old Malaysian from a lower-class family, who lives with his divorced mother (Kara Hui) and generally lays about doing nothing. He dates Ying (Ng Meng-Hui), a fifteen-year-old schoolgirl whose quiet defiance defines her character.[4][5]	Hong Kong
Love O2O	2016	romance	Zhao Tianyu	Angelababy, Jing Boran, Li Qin, Wang Sicong, Liu Xunzimo, Tan Songyun, Wu Qian, Li Xian, Cheng Yi, Jayden Wang, Bai Yu	Xiao Nai is a gaming expert, who is also the most popular student on campus. One day, he comes across the campus goddess Bei Wei Wei and it was love at first sight. However, it was not Wei Wei's looks that he noticed, but her skill mastery of the online RPG game that they both play. Now, Xiao Nai must use his skills both in real life and online to capture Wei Wei's heart. But does their love have the EXP to succeed, or will this relationship never level up?	Chinese
The Right Kind of Wrong	2013	romance	Jeremiah S. Chechik	Ryan Kwanten, Will Sasso, Catherine O'Hara	"Leo (Ryan Kwanten), a newly divorced man, falls in love with Colette (Sara Canning) on her wedding day and decides to try to win her heart. Leo is discovered to be a failed writer and recent divorcee. His former wife Julie (Kristen Hager) has written a blog entitled ""Why You Suck"" which has gone on to be published and become a top selling book. Leo in turn is a dishwasher working for his friend in his restaurant. Leo also suffers from a crippling fear of heights.
Leo continues in the pursuit Colette even in the face of scorn from her husband and his friends."	Canadian
Mayerling	1968	romance	Terence Young	Omar Sharif, Catherine Deneuve	"In the 1880s, Crown Prince Rudolf of Austria (Sharif) clashes with his father, Emperor Franz Joseph I of Austria (Mason) and his mother Empress Elisabeth (Gardner), over implementing progressive policies for their country. Rudolf soon feels he is a man born at the wrong time in a country that does not realize the need for social reform. The Prince of Wales (Robertson Justice), later to become Britain's King Edward VII, provides comic relief.
Rudolf finds refuge from a loveless marriage with Princess Stéphanie (Parisy) by taking a mistress, Baroness Maria Vetsera (Deneuve). Their untimely death at Mayerling, the imperial family's hunting lodge, is cloaked in mystery, but the film's ending suggests the two lovers made a suicide pact when they decided they could not live in a world without love or prospects for peace."	British
Princess Daisy	1983	romance	Waris Hussein	Rupert Everett, Lindsay Wagner, Merete Van Kamp, Claudia Cardinale, Barbara Bach	Princess Daisy tells the story of a young girl who is sent to England to live with her father, Prince Valenski, after her mother's death in a car crash. Unfortunately, Daisy is immediately separated from her twin sister Dani, who is a special needs child not accepted by their father. When Daisy turns 16, their father dies in a plane accident. The girl is forced to take care of her life herself, especially when her half-brother starts seeing in her more than just a sister.	American
Why Do Fools Fall in Love	1998	romance	Gregory Nava	Halle Berry, Vivica A. Fox, Lela Rochon	"Lymon was 13 years old when the teenage group Frankie Lymon & the Teenagers erupted from radios and jukeboxes with their 1956 hit ""Why Do Fools Fall in Love?"" and appeared in the movie Rock, Rock, Rock (1956).
After Mr. Rock and Roll (1957), Lymon started a solo singing career, but it all fell apart. Lymon's career was over by the time he was 18 years old, and he died of a heroin overdose seven years later.
Jumping from the 1950s to the 1960s, the film traces the rise and fall of Lymon (Larenz Tate) in a series of flashbacks as courtroom claims on Lymon's royalties are outlined by three women: Zola Taylor (Halle Berry) of the R&B group The Platters; Elizabeth Waters (Vivica A. Fox), who loves her pet dog (which Lymon kills by mistake, when it bites his hand after threatening to throw it out a window during an argument between him and Elizabeth) and who became a prostitute to cover the costs of Lymon's recovery from addiction; and schoolteacher Emira Eagle (Lela Rochon). Ending credits shows the real Frankie Lymon singing his song ""Goody Goody.""
Little Richard also makes a courtroom appearance, while Miguel A. Nunez, Jr. portrays Little Richard in scenes set in the 1950s.
The film ends with Emira winning Frankie's estate, although Elizabeth was named the legal surviving spouse of Frankie Lymon."	American
Dance with Me	1998	romance	Randa Haines	Vanessa L. Williams, Chayanne, Kris Kristofferson, Joan Plowright	"After burying his mother, Rafael Infante (Chayanne) comes from Santiago, Cuba to Houston, Texas to work for a man named John Burnett (Kris Kristofferson) as a handyman in Burnett's dance studio. It soon becomes clear to the audience that Burnett is the father Rafael never knew. While there he finds himself falling for a dancer and instructor Ruby Sinclair (Vanessa L. Williams), who incidentally brought him to the studio.
It turns out that the dancers in the studio are preparing for a dance competition in Las Vegas and that Ruby would be taking part as well. Rafael gets close to Ruby and their attraction to each other grows, but she is not willing to commit herself to a relationship as she seems more interested in her dancing.
Meanwhile, Rafael's arrival and persona wins him the friendship of an older dancer Bea Johnson (Joan Plowright) as well as the studio receptionist Lovejoy (Beth Grant), but it also causes some discomfort to Burnett, who suddenly begins to withdraw into himself and takes less interest in the preparations for the competition, much to the chagrin of his own partner Patricia Black (Jane Krakowski).
While visiting Burnett at his home, Rafael notices and offers to repair his old and broken-down truck. He and Ruby go downtown to get the parts needed to repair the truck and are invited to an engagement party by a Cuban man whose daughter was getting engaged. While there, both of them discover more about each other as he tells her that his mother had died but that he never knew his father.
Later, Rafael invites Ruby to a dance party at a club in the city and they agree to go on the following Saturday night. Before leaving, Rafael helps Patricia learn a dance lift she had been practicing, explaining that his mother made him take a little ballet. The following Saturday, he and Ruby go to the party in which they perform, along with other dancers, the Latin Salsa dancing to a song by Albita Rodriguez.
After the party, he takes Ruby home where he discovers that she has a 7-year-old son Peter (Chaz Oswill) who is ""looked after"" by Bea in Ruby's absence and who happens to be fathered by Ruby's former dance partner, Julian Marshall (Rick Valenzuela). While there, he comes up to Ruby and they share a passionate kiss, but she eventually breaks it up.
Later on Rafael comes to Burnett's home to show him the refurbished truck, to the latter's delight. while there, Patricia comes to the house and has a discussion with John asking him to explain why he suddenly lost interest in their choreography preparations. John then tells her that she can dance with Rafael if she wants and both she and Rafael start their practice to the amazement of the other dancers at the studio.
After the rehearsal, Rafael overhears John telling Lovejoy that Ruby would be in Las Vegas without them and also asking her to switch his name with Rafael's when Patricia's dance comes up.
Sensing that she wants to reunite with Julian, Rafael goes to see Ruby who explains that she wanted Peter to see his father often and that she did not want to be in love. While at a fishing trip with Burnett, Rafael is shocked when Burnett tells him to go back to Cuba after the competition and that he did not have a son. Devastated by the double rejection, he decides to return to Cuba after his dance with Patricia.
At Las Vegas, Rafael meets Ruby and tells her that he was returning to Cuba after the competition. Burnett (who did not go) reflects on his cruel rejection of Rafael and decides to come to the dance to apologize to Rafael and persuade him not to go back to Cuba. Rafael dances with Patricia and while watching them, Ruby realized that she was in love with Rafael and felt a stab of jealousy seeing them together.
Just as Rafael and Patricia leave the stage, Bea comes in, saying, ""I wanna do that too"" and she and Rafael perform a very humorous dance to the amusement and delight of the crowd. After the dance, Burnett meets and apologizes to Rafael, eventually convinces him to stay back and also commending his dancing.
The main dances begin and Ruby and her partner Julian are involved. Despite the slight tension between them, they win the competition although Ruby almost all the time seems to keep her eyes on Rafael, who is in the audience and who is watching her, however he leaves and when Ruby looked around without seeing him, she breaks down in tears.
Later at a dance party for all the contestants, Ruby is met by a man who wishes to promote her. However, to her relief, Rafael appears again and leads her to the dance floor for a final dance scene that has the rest of the dancers watching with admiration.
The movie ends at the studio with the entire studio members and some new dancers dancing to the theme song ""You Are My Home"" by Chayanne and Williams themselves."	American
Cinderella	2015	romance	Kenneth Branagh	"Lily James
Richard Madden
Cate Blanchett
Helena Bonham Carter
Holliday Grainger"	"After losing her mother at a young age, Ella promises to follow her mother's dying wishes: to have courage and be kind. Some years later, Ella's father remarries Lady Tremaine, the widow of an old acquaintance, who has two daughters of her own, Drisella and Anastasia. Ella welcomes her new stepfamily, despite the stepsisters' unpleasant attitudes. When Ella's father goes abroad for business, Lady Tremaine slowly reveals her cruel and jealous nature, as she pushes Ella to give up her bedroom to the stepsisters for the attic. When Ella's father unexpectedly dies during the trip, Lady Tremaine dismisses the household to save money and forces all of the chores on Ella. One morning, when her stepfamily see Ella's face covered in cinders due to her sleeping by the fireplace for warmth, they mock Ella as ""Cinderella"" and forbid her from eating with them.
Crushed by their cruelty, Ella rides off into the woods, where she meets Kit, the crown prince, posing as a palace apprentice, along with his hunting party. Though Ella is unaware of Kit's true identity, they both take a liking to each other. The two part without Kit learning Ella's name. The King, upon learning he has little time left to live, urges Kit that, for the advantage of the kingdom, he should take a princess for his bride at the upcoming royal ball. Kit persuades his father to also invite every eligible maiden in the kingdom to the ball, hoping to see Ella again.
Upon receiving notice of the ball, Ella finds a gown that had once belonged to her late mother and decides to refashion it for the ball. On the night of the ball, Ella tries to join her stepfamily, but Lady Tremaine and her daughters tear her dress to shreds and leave without her. Ella runs into the garden in tears and meets an old beggar woman, who reveals herself to be her Fairy Godmother. To help Ella attend the ball, her Fairy Godmother magically transforms a pumpkin into a golden carriage, her four mice into white horses, two lizards into footmen, and a goose into the coachman. She then transforms Ella's ripped dress into a gorgeous blue gown, complete with a pair of magical glass slippers. As Ella leaves for the ball, the Fairy Godmother warns her the spell will break at the last stroke of midnight. Finally, she casts a spell to keep Ella's stepmother and stepsisters from recognizing her.
At the ball, the entire court is entranced by Ella when she appears. Ella and Kit proceed to have their first dance. This is much to the chagrin of the Grand Duke, who has promised Kit to Princess Chelina of Zaragoza, a comment which Lady Tremaine overhears. While surprised at Kit's true identity, Ella continues to bond with him, touring the palace grounds. As Ella is about to tell Kit her name, Ella hears the clock start to chime midnight and flees. As she flees the castle, one of her slippers falls off. After being pursued by the Grand Duke and his men, Ella manages to escape home before the final stroke of midnight chimes, causing the spell to wear off. After returning home, Ella hides the remaining glass slipper left behind under the floorboards of her bedroom.
The King passes away soon after, but not before giving his son permission to marry Ella. Now King, Kit issues a royal proclamation ordering every maiden in the kingdom to try on the slipper in an effort to find the girl. Ella hurries to retrieve the glass slipper to prove her identity, only to find her stepmother holding it. Having deduced that Ella is the mystery princess, Lady Tremaine tells her stepdaughter about her own tragic past and of the bitter effects it has caused on her life. She blackmails Ella to be made head of the royal household and that respectable husbands are found for the stepsisters, as conditions in order to give Ella's hand in marriage to Kit. When Ella refuses to meet her demands, Lady Tremaine smashes the slipper and locks Ella in the attic. Lady Tremaine then takes the shattered remains of the slipper to the Grand Duke, and has him agree to make her a countess and securing marriages for her daughters, in exchange for keeping Ella hidden.
The Grand Duke and the captain of the palace guards lead the mission to find the mystery princess, but the slipper refuses to fit any other maiden. When they arrive at the Tremaine estate, the shoe fits neither of the stepsisters. As they turn to leave, Ella's singing of Lavender's Blue is heard. The Grand Duke tries to ignore this, but Kit, disguised as a guard, commands the captain to investigate. Dismissing Lady Tremaine's attempts to stop her, Ella is reunited with Kit. They leave the house as Ella offers forgiveness to her stepmother. Afterward, the Fairy Godmother states that Ella's stepfamily and the Grand Duke are exiled from the kingdom, never to return.
Ella and Kit marry and eventually grow to become the land's most beloved monarchs, ruling with the same courage and kindness that Ella has promised her mother, living happily ever after."	American
Love Actually	2003	romance	Richard Curtis	Alan Rickman, Bill Nighy, Emma Thompson, Ant & Dec	"The film begins with a voiceover from David (Hugh Grant) commenting that whenever he gets gloomy about the state of the world he thinks about the arrivals terminal at Heathrow Airport, and the pure uncomplicated love felt as friends and families welcome their arriving loved ones. David's voiceover also relates that all the messages left by the people who died on the 9/11 planes were messages of love and not hate. The film then tells the 'love stories' of many people:
With the help of his longtime manager Joe (Gregor Fisher), rock and roll legend Billy Mack (Bill Nighy) records a Christmas variation of The Troggs' ""Love Is All Around"". Although he thinks the record is terrible, Mack promotes the release in the hope it will become the Christmas number one single; it does and after briefly celebrating his victory at a party hosted by Sir Elton John, Billy discerns that Joe is in need of affection and suggests that he and Joe celebrate Christmas by getting drunk and watching porn.
Juliet (Keira Knightley) and Peter's (Chiwetel Ejiofor) marriage is videotaped by the best man, Mark (Andrew Lincoln). Although both Juliet and Peter believe that Mark dislikes Juliet, he is in love with her. When Mark evades Juliet's requests to see the video he made at the wedding, Juliet visits Mark. She says she wants them to be friends and when she finds and views the wedding video, it turns out to be just adoring close-ups of her. After an uncomfortable silence, Mark blurts out that he snubs her out of ""self-preservation."" On Christmas Eve, Juliet answers the doorbell to find Mark, carrying a boombox playing Christmas songs and large cue cards on which he has written, without expectation of reciprocation, that he loves her. As he walks away, Juliet runs after him to give him a quick kiss before she returns inside.
Writer Jamie (Colin Firth) is pushed to Juliet and Peter's wedding by his girlfriend (Sienna Guillory) as she feigns illness. He returns between the ceremony and the reception to check on her, and discovers that she is having an affair with his brother. Crushed, Jamie withdraws to his French cottage where he meets Portuguese housekeeper Aurélia (Lúcia Moniz), who does not speak English. Despite their inability to communicate, they become attracted to each other. When Jamie returns to England, he realises he is in love with Aurélia and begins learning Portuguese. He returns to France to find her and ends up walking through town, gathering people as they walk to her job at a restaurant. In his broken Portuguese he declares his love for her and proposes. She says yes in broken English as the crowd erupts in applause.
Harry (Alan Rickman) is the managing director of a design agency; Mia (Heike Makatsch) is his new secretary. Harry is comfortably married to his wife, Karen (Emma Thompson), who stays home to raise their children. Harry becomes increasingly aroused by Mia's overtly sexual behaviour at the office and does nothing to dissuade her. At the company Christmas party held at Mark's gallery, he not only inquires if Mark is her boyfriend, but dances closely with her. While at the shops, he calls Mia to find out what she wants for Christmas and ends up almost caught by his wife purchasing an expensive necklace from the jewellery department thanks to the salesman Rufus (Rowan Atkinson). Later on, Karen discovers the necklace in Harry's coat pocket and happily assumes it is a gift for her. When he hands her a similarly shaped box to open on Christmas Eve, she is heartbroken to find it is a Joni Mitchell CD, meaning that the necklace was for someone else. She confronts Harry and asks him what he would do if he was her. Harry begs her forgiveness. She responds that he has made a mockery of their marriage and of her.
Karen's brother, David (Hugh Grant), is the recently elected Prime Minister. Natalie (Martine McCutcheon) is a new junior member of the household staff at 10 Downing Street. During a meeting with the U.S. President (Billy Bob Thornton), they run into Natalie and the president makes some inappropriate comments to David about Natalie's body. Later, David walks in on Natalie serving tea and biscuits to the president, and it appears that something untoward is happening. Natalie seems ashamed, but the President has a sly grin on his face. At the following joint press conference, David is uncharacteristically assertive while taking a stand against the President's intimidating policies. Finding that his relationship with Natalie has become strained and a distraction, David has her moved to another job. However, he is spurred to action on Christmas Eve when he finds a Christmas card from Natalie declaring that she is his and no one else's. After a door to door search of her street, he comes across Mia, who informs him that Natalie lives next door. The entire family is on their way out the door to a multi-school Christmas play and he offers to drive them so he can talk to her. After Natalie sneaks him in to the school, he runs into his heartbroken sister who believes he is there for his niece and nephew. As the two try to keep from being seen and watch the show from backstage, they finally kiss. All their hiding was for nothing because as the curtain rises, they are seen kissing by everyone.
Daniel (Liam Neeson), Karen's friend, mourns the recent death of his wife Joanna, as he tries to raise his stepson Sam (Thomas Sangster) alone. Sam has fallen for an American classmate, also named Joanna (Olivia Olson), and, after discussion with his stepfather, decides to learn the drums so that he can accompany her in the big finale for their school's Christmas pageant (the same one that David's nephew and Karen and Harry's children are in). After Sam feels that he missed his chance to make an impression on her, Daniel convinces Sam that he must go catch Joanna, who is returning to the US, at the airport that night and show her how he feels, lest he regret it. Sam runs away from the airport security and says hi to Joanna, who then kisses him on the cheek. Meanwhile, Daniel meets Carol (Claudia Schiffer), the mother of one of Sam's schoolmates.
Sarah (Laura Linney) first appears at Juliet and Peter's wedding, sitting next to her friend Jamie. She is an American who works at Harry's graphic design company and has been in love for years with the company's creative director, Karl (Rodrigo Santoro). They finally connect at the firm's Christmas party and he drives her home. They kiss, but before more can occur, they are interrupted by her mentally ill brother, Michael, phoning from a mental care facility. Sarah and Karl's evening tryst is aborted and Karl leaves. Both are working late on Christmas Eve and when Karl leaves, he just wishes her a Merry Christmas. Michael phones Sarah and she goes to stay with him, sharing her Christmas scarf.
After unsuccessfully attempting to woo various English women, including Mia and Nancy (Julia Davis), the caterer at Juliet and Peter's wedding, Colin Frissell (Kris Marshall) informs his friend Tony (Abdul Salis) he plans to go to America, where he is convinced that his Britishness will be an asset. Landing in Milwaukee, Wisconsin, Colin meets Stacey (Ivana Miličević), Jeannie (January Jones), and Carol-Anne (Elisha Cuthbert), three stunningly attractive women who fall for his Basildon accent and invite him to stay at their home, where they are joined by roommate Harriet (Shannon Elizabeth).
John (Martin Freeman) and Judy (Joanna Page) are professional body doubles for films. They meet for the sex scenes in a film for which Tony is a production assistant. John tells Judy that ""It is nice to have someone [he] can just chat to."" While the two are perfectly comfortable being naked and simulating sex on-set, they are shy and tentative off-set. Carefully pursuing a relationship, they attend the Christmas pageant (involving David and Natalie, Harry and Karen's children, Daniel and Sam, et al.) at the local school with John's brother.
Rufus (Rowan Atkinson) is the jewellery salesman, whose obsessive attention to gift-wrapping nearly results in Harry being caught buying a necklace for Mia by Karen. Also, it is his distraction of staff at the airport which allows Sam to sneak through to see Joanna. In the director and cast commentary, it is revealed that Rufus was originally supposed to be a Christmas angel; however, this was dropped from the final script.
One month later, all of the characters are seen in Heathrow Airport. Billy tells Joe that his Christmas single has spurred a comeback. Juliet, Peter, and Mark meet Jamie and his bride, Aurélia. Karen and the kids greet Harry, but Karen's reaction suggests that they are struggling to move past his indiscretion. Sam greets Joanna, who has returned with her mother from America, and Daniel is joined by his new girlfriend Carol and her son. Newlyweds John and Judy, heading off to their honeymoon, run into Tony who is awaiting Colin as he returns from America. Colin returns with Harriet and her sister Carla (Denise Richards) who greets Tony with a hug and a kiss. Natalie welcomes David back from his flight in view of the press, indicating that their relationship is now public. These scenes dissolve into footage of actual arrivals at Heathrow, as the screen is divided into an increasing number of smaller segments which form the shape of a heart."	British
Restless	1998	romance	Jule Gilfillan	"Catherine Kellner,
Josh Lucas,
David Wu,
Geng Le"	Leah (Kellner) is a translator who is traveling international cities in search of romance and closure with her estranged boyfriend Jeff. She eventually settles in Beijing, China, where she meets and develops a fixation on Master Sun Zhan (Geng Le), who teaches here a Chinese game called weiqi. When her relationship with Master Sun Zhan takes a turn for the worse, Leah decides to focus on getting revenge on Jeff. Richard (Wu) is a shiftless Chinese-American whose family sends him to Beijing with his grandfather's ashes. Eventually Leah and Richard's paths cross.	Chinese
Chain of Desire	1992	romance	Temístocles López	Malcolm McDowell, Linda Fiorentino, Elias Koteas	"A series of unrelated amorous lovers are connected by a chain of desire. It begins when a woman named Alma flees from a would-be lover. She runs into a church, where she meets a man named Jesus and they eventually make love.
Jesus goes home to wife Isa and they make love. Isa leaves for an appointment with Dr. Buckley, with whom she is having an affair. Buckley then visits Linda, a dominatrix. Linda goes home to husband Hubert, a television commentator. Hubert has sex without her knowledge with a male teen, Keith.
Keith is introduced to exotic dancer Diana, who then has a fling with a much older artist, Mel. He goes home to an angry wife, Cleo. And that night, all of these people end up at a nightclub where Alma is performing. Alma has just learned that the lover she fled has been diagnosed with AIDS."	American
