Title	Release Year	Genre	Director	Cast	Plot	Origin/Ethnicity
Going in Style	2017	comedy	Zach Braff	Zach Braff (director); Theodore Melfi (screenplay); Morgan Freeman, Michael Caine, Alan Arkin, Joey King, Matt Dillon, Ann-Margret, Christopher Lloyd, Siobhan Fallon Hogan, John Ortiz, Peter Serafinowicz	"Joe, Willie, and Albert are senior citizens and lifelong friends living in New York. During an unpleasant appointment at the bank, Joe is one of the victims to witness a robbery in progress carried out by three individuals wearing black masks. During the robbery, he notices the leader bearing a Mongol warrior tattoo on his neck as the only lead that could help the police identify the culprit. However, the leader sympathizes with Joe when he finds out about his current financial situation brought up by the bank. Then, the robbers manage to escape with over $1.6 million.
When the company they worked for is bought out, their pensions become a casualty of the restructuring. Joe is hit particularly hard and finds out that he, his daughter, Rachel, and granddaughter, Brooklyn, will be homeless in fewer than 30 days. Willie finds out he's gravely ill from kidney failure and needs a transplant and is even more frustrated because his financial situation forces him into a long-distance relationship with his daughter and granddaughter. Desperate, the three friends decide to rob the bank that is going to restructure their pension funds and take back what is rightfully theirs.
Inspired by his experience of the robbery, Joe originates the idea; at first Albert and Willie are appalled, but eventually agree when they later learn that their bank intends to steal their pensions. Trying to shoplift some items from a grocery store, where Al's love interest, Annie, works, results in a comic disaster, so the trio turn to Joe's former son-in-law, Murphy, and a criminal working as a pet store owner named Jesus to teach them the ropes. They plan an alibi using their lodge's carnival as a cover.
Joe, Willie, and Albert disguise themselves as ""The Rat Pack"" (Frank Sinatra, Dean Martin, and Sammy Davis, Jr.) and use guns with blanks so that no one gets hurt. The robbery almost goes awry when Willie collapses briefly and a child witness partially pulls off his mask to allow him to breathe better; she sees the wrist watch he wears with a picture of his granddaughter on it as he engages in a friendly conversation and sympathizes with her, so as not to let her feel intimidated about the robbery in progress and when the bank manager clumsily tries to fire shots at them; however, the three manage to get away with over $2.3 million. They are soon arrested on suspicion by FBI Agent Hamer after the manager from the grocery store recognizes Al's walk from the video surveillance cameras, but they all stick to their alibis.
Hamer puts them along with other senior suspects into a police lineup, using the child witness who partially took off Willie's mask. She refuses to identify Willie, leaving Hamer with no case. Willie suffers total renal failure and is near death until Al agrees to donate a kidney. While part of the money is used to help the three friends with their financial situations, the rest is given to their families, friends, co-workers, and fellow members at the lodge. Joe finally gets his granddaughter a puppy he promised her if she got A's in every subject at school; courtesy of Jesus, who is later revealed to be the leader of the robbers from the robbery Joe witnessed and has laundered the money that they stole. The tattoo on his neck is also revealed to be a fake made of henna, intended to throw the FBI and the police off the scent. The movie ends at Al and Annie's wedding as the three friends celebrate their good fortune."	American
Campaign, TheThe Campaign	2012	comedy	Jay Roach	Will Ferrell, Zach Galifianakis, Jason Sudeikis, Katherine LaNasa, Dylan McDermott, John Lithgow, Dan Aykroyd, Brian Cox	"Democratic Congressman Cam Brady (Will Ferrell) of North Carolina's fictional 14th District is running for his fifth term unopposed. His campaign is damaged by the revelation of his affair with one of his supporters, when Cam accidentally leaves a sexually explicit voice message on a local family's answering machine.
The corrupt businessman brothers Glenn and Wade Motch (Dan Aykroyd and John Lithgow) use this opportunity to convince Marty Huggins (Zach Galifianakis), tourism director for the town of Hammond and son of one of their associates, Raymond Huggins, to run against Cam on the Republican ticket, as part of a plan to profit from dealings with a Chinese company. Cam at first underestimates Marty and humiliates him by playing a video biography highlighting potentially embarrassing aspects of Marty's life. The Motch brothers then hire Tim Wattley (Dylan McDermott) to be Marty's campaign manager. Wattley reinvents Marty as a successful entrepreneur and family man. Marty's popularity rises due to his effective campaign while Cam's is further damaged when he accidentally punches a baby when intending to hit Marty. Cam later runs a campaign portraying Marty as an Al Qaeda terrorist, and Marty exposes Cam as a fake Christian by asking him to recite the Lord's Prayer, which he fails to do. Cam attempts to restore his religious image by visiting a church of snake handlers, but he gets bitten by a snake. A video of the bite is leaked into the Internet and goes viral, increasing Cam's popularity.
When Cam's son plans to slander his competition for class president, Cam realizes he has set a bad example and visits Marty to make peace. While drunk, Cam tells Marty that he originally became a politician to help people, citing that as class president he had a dangerous, rusty slide removed from the playground. After Cam leaves, Wattley convinces Marty to call the police and report Cam for driving while drunk. Cam is arrested and his campaign is again damaged. Marty later airs a TV ad of Cam's son addressing Marty as ""dad"". Cam gets revenge on Marty by seducing his neglected wife Mitzi and recording the act. The released sex tape humiliates the Huggins family and causes Cam's campaign manager, Mitch, to abandon him. Marty retaliates by shooting Cam in the leg on a hunting trip, increasing his own popularity.
As the election nears, Marty meets with the Motch brothers and learns of their plans to sell Hammond to their Chinese business partner and turn the town into a factory complex. Marty realizes he has been used and rejects the brothers' support, leading them to defect to Cam's side. Marty meanwhile reconciles with his family.
On election day, Cam's victory appears certain until Marty exposes the Motch brothers' intent and promises to preserve Hammond if elected. Cam still wins and remains congressman due to rigged voting machines owned by the Motch brothers. While Cam gloats, Marty shows his large scars to Cam and reveals that he looked up to Cam in school for getting rid of the dangerous slide. Realizing he has strayed from his true objectives as a politician, Cam withdraws from the election and Marty wins by default. Cam earns back Mitch's respect, and Marty later appoints him his chief of staff.
Six months later, Marty and Cam expose the Motch brothers, who are called to appear before Congress. The brothers point out that everything they did is legal under Citizens United v. Federal Election Commission, but they are arrested for their association with Wattley, who is actually an international fugitive."	American
Gayby	2012	comedy	Jonathan Lisecki	Jenn Harris, Matthew Wilkas	"Jenn (played by Jenn Harris), a yoga instructor, and Matt (played by Matthew Wilkas), a comic book store worker, are best friends from college who are now single and in their 30s. In agreement with a pact they made in their youth, the two decide to have a baby (""gayby"") together, even though Jenn is straight and Matt is gay. Jenn's grandmother set her up with a trust fund if she ever had a child, so Jenn is confident that she and Matt will have the finances to have one. However, Jenn states that she wants to have a baby through natural conception, so the two begin awkwardly having sex. Meanwhile, Jenn is concerned with the stunted life she is living, treated as an underling at her yoga studio. Matt is recovering from a devastating break up with his partner of six years, Tom, who is a rising comic book publisher. Matt finds difficulty in getting back into the dating game and finds himself constantly avoiding awkward run-ins with Tom.
The two friends resolve to reinvigorate their dating lives and achieve their longterm goals—Jenn pushes the idea of innovative ""warm"" yoga classes at her studio, while Matt works on his own comic book, ""Gayby""—about the adventures of a heroic gay baby—to pitch to a distributor. Both receive advice from friends about their goals and the pregnancy attempts—Jenn from her gay co-worker Jamie and her aggressive sister, Kelly, who is in the process of adopting a child, and Matt from his dry-witted friend Nelson, who helps them with their fertility treatments, having been a surrogate father himself.
After dating around, Jenn has a one-off night of passionate sex with her boss's brother, Louis. Meanwhile, Matt meets a divorced, newly out, gay father, Scott, who buys comic books at his store. The two begin a relationship, but Matt is frustrated at how slowly Scott wishes to proceed. Jenn and Matt are later thrilled when they learn Jenn is finally pregnant.
While talking with Louis, Jenn is furious to learn that Louis has a girlfriend and that he cheated on her with Jenn. In trying to defend himself, Louis reveals that their condoms broke during sex, but that he thought Jenn knew and was okay with it. Jenn is devastated by the possibility that the child may not be Matt's after all. Her boss, upon learning that her brother cheated on his girlfriend again with Jenn, angrily asks her to take a leave of absence from the yoga studio.
While attending Matt's birthday party, Jenn hesitantly reveals that the child might be Louis's, which devastates Matt. He asks Jenn to return his apartment key and refuses to speak to her. Falling into a depression, Jenn is visited by Kelly, who tells her that her adoption process failed. She instead offers to raise Jenn's baby, arguing that Jenn is not fit—either in lifestyle or career—to raise a child on her own, and will block the trust fund if necessary. Jenn is taken aback and exclaims that she will be able to raise the child and give it a great life, even if Matt never forgives her and she is forced to raise it alone. Satisfied that Jenn has what it takes, Kelly reveals that the adoption went through and that her offer was a ruse to bolster her sister's conviction.
Jenn returns to work and offers to buy into the yoga studio with some of her trust fund money, securing her future with the studio and furthering her career. Enticed by the opportunity to split the responsibility of studio ownership with someone and seeing that Jenn's ""warm"" yoga has become an immense hit, her boss accepts, and they both agree to restart their friendship. Nelson reads over Matt's comic and convinces him that it is worth submitting to a publisher. Matt finds closure with Tom by finally speaking with him and asking him if he would pass his proposal up to one of his superiors. Tom happily agrees, stating that he is pleased to see Matt is doing better. Though he is excited about this development, Matt is still depressed that the child may not be his. Nelson tells him that even if the child isn't his biologically, it is still his child because he and Jenn wanted to have it together. That it has a loving family is what's most important.
Jenn arrives at the comic book store to ask for Matt's forgiveness, and offers to raise the child with him one last time. Though silent at first, Matt relents and the two make up, preparing for the baby's arrival.
One year later, Matt's comic book is a success and he has furthered his relationship with Scott, who enthusiastically helps care for the baby. Jenn has begun a relationship with one of Matt's straight co-workers and stops by Matt and Scott's place to give them the night off of baby-duty. It is then that Scott tells Jenn of his plan to secretly propose to Matt that evening. After Matt and Scott leave, Jenn cuddles with the baby and says, ""You sure do look like your father,"" leaving the true identity of the baby's father unknown."	American
Bride Wars	2015	comedy	Tony Chan	Angelababy, Ni Ni, Chen Xiao, Zhu Yawen, He Jiong, Liu Jinshan, Wang Yinan, Xi Wang, Jing Boran, Du Haitao	A pair of brides-to-be put their friendship to the test when they battle it out for the perfect wedding scheduled on the same day.	Chinese
'Moms' Night Out	2014	comedy	Andrew Erwin	"Sarah Drew
Sean Astin
Patricia Heaton"	"Allyson Field is a young mother who is having a most unhappy Mother's Day. At first glance, she seems to have a life that many would envy. She is happily married to her loving husband Sean and they have three lively, adorable children. However, as Allyson types on her ""mommy blog"", she is beset with anxiety and feelings of unworthiness. She describes herself as a ""freaky clean freak"" who actually sees beauty in a padded cell. She has paranoid delusions about her children getting salmonella and child welfare workers taking them away. She realizes that she is living her simple dream of being a decent wife and mother and feels like a horrible person because of her inner demons.
Allyson finds comfort in her two best friends Sondra and Izzy. Sondra is a pastor's wife, the pillar of the community, whom Allyson describes as her Gandalf and Doctor Phil. Sondra has a rebellious teenage daughter Zoey who acutely feels the stigma of being a pastor's daughter. Izzy is Allyson's high-school friend who has twins and is married to the lovable but bumbling Marco who has an irrational fear of bikers and small children. Allyson is deeply affected by a sermon that Sondra's husband gives about the high calling of motherhood and the sacrifices that are entailed.
Sean recommends a night out for his overstressed wife, and she and Izzy and Sondra plan one that starts with dinner at a fancy Chinese restaurant. However, the evening is a disaster from start to finish. Sean's loopy half-sister Bridget comes to dinner and asks Ally to babysit her son Phoenix. Sean agrees to shoulder the responsibility with Marco and his friend Kevin, who loves video games and hates kids. In many ways Sean and Kevin are arrested adolescents. When Ally and her friends arrive at the restaurant they're told that their reservation has been lost and Ally has a mini-meltdown and throws away their cellphones. The three friends go bowling and Sondra tries to comfort the frazzled Ally telling her that God is always with her. The evening degenerates with further accidents and misunderstanding as the babysitters take the children to a video arcade which results in a trip to the emergency room and the men inadvertently taking the women's van. Things go from bad to worse when Bridget realizes that Phoenix is missing. The four travel across the city looking for him, and all four end up in a jail cell and Sondra gets tased.
The film ends with everyone being happily reunited and Ally typing a happy blog proclaiming that while her life is stressed and crazy it is also beautiful. She finds the true meaning of a video that Sondra sent her showing an eagle caring for its young. Sean reminds her of the old saying that ""the hand that rocks the cradle rules the world."""	American
Dumb and Dumber To	2014	comedy	Bobby Farrelly	"Jim Carrey
Jeff Daniels
Laurie Holden
Jennifer Lawrence"	"Twenty years after the events of the first film, Lloyd Christmas has been committed at Baldy View Sanitarium, a mental institution, ever since his doomed romance with Mary Swanson. During a recent visit, Harry Dunne discovers that Lloyd pranked him into thinking he was traumatized the entire time. They head to their apartment, where Harry reveals he needs a donated kidney.
They go to Harry's old home, but Harry cannot get a kidney from his parents because he was adopted. Harry's dad gives him his mail that has been piling up since he moved out. It includes a postcard from a former girlfriend, Fraida Felcher, dating back to 1991. It says she is pregnant and needs Harry to call. Fraida admits that she had a daughter named Fanny that she gave up for adoption. She wrote Fanny a letter, only for it to be returned and instructed to never contact her again.
Hoping she can provide a kidney, Lloyd and Harry drive a hearse that Fraida gave them to Oxford, Maryland, where she now lives. Dr. Bernard Pinchelow and his wife Adele are Fanny's adoptive parents. Fanny, who has taken the name Penny, is going to a KEN Convention in El Paso to give a speech on her father's life work. Penny is given a package to be given to one of the convention heads but ends up forgetting the package and her phone.
Adele is secretly trying to poison Bernard and Penny out of jealousy, with the help of her secret lover, the family's housekeeper, Travis Lippincott. Harry and Lloyd arrive to inform the Pinchelows of their situation. Bernard realizes Penny left the package, which he says is an invention worth billions. Adele suggests that Harry and Lloyd deliver the package to Penny. So that he and Adele can get the contents of the box, Travis accompanies Harry and Lloyd. Annoyed with the duo's antics, Travis attempts to kill them but dies in a train collision. Adele hears of the death from Travis's twin brother Captain Lippincott, a former military man who agrees to help her kill Harry and Lloyd.
When the duo arrives in El Paso on a stolen Zamboni ice resurfacer, Harry impersonates Bernard, so he and Lloyd are invited to a seminar. They get into an argument when Harry discovers that Lloyd has developed a romantic attraction to Penny. After being escorted out of the convention due to not being on the attendance list, Lloyd gets a call from Penny. After informing Penny that he is in town with her dad, they arrange a meeting during which Lloyd deduces that he, not Harry, is Penny's father.
Adele arrives at the convention with Lippincott and exposes Harry as a fraud, telling the convention heads that he stole the package. Fraida also arrives and tampers with the fire alarm to create a diversion after she and Penny are denied entry. As the building is evacuated, Harry runs into Fraida and Penny, only to have Lippincott and Adele corner them with guns in a bathroom. At this moment, Lloyd returns, having been to Mexico to have one of his own kidneys removed for Lloyd. Lippincott and Adele are about to shoot, but three FBI agents bust in with a healthy-looking Bernard, who knew all along that Adele was trying to poison him. It is revealed that it was Adele, not Penny, who wrote ""do not contact again"" on Fraida's letter, and that the ""priceless invention"" in the package was in fact nothing but cupcakes. Adele attempts to shoot Penny, but Harry jumps in front of the bullet and is severely injured. Adele and Lippincott are arrested.
Harry is rushed to the hospital where he reveals that he was pranking Lloyd about needing a kidney and both laugh. Fraida tells Harry and Lloyd that Penny’s biological father is a dead high school friend named Pete ""Pee-Stain"" Stainer. As the duo leave El Paso, they spot two women walking in their direction and shove them into a bush as a joke. Harry and Lloyd run off and high-five each other."	American
Last Call	2013	comedy	Greg Garthe	Travis Van Winkle, Ryan Hansen, Tara Reid	Two underachieving cousins, Danny (Van Winkle) and Phil (Hansen) have to prove themselves when they are charged with managing the family pub, in a bid to save their wayward uncle from prison and financial ruin.[3]	American
The Road	2015	comedy	Liu Binjie	Ye Zuxin, Bai Kainan, Ba Duo, Nian Xianer, Xue Cun, Li Jing, Man Yutong, Wang Ganggang, Rocking Long, Rhythm Long, Fu Yuxuanqi	Young couple Rana and Guy live in today's Beirut. Rana decides to get away from work and now does not know how to live. Her husband - a man more purposeful. He cultivates the land, which gives him a livelihood. And yet he is an independent video artist who creates live performances. Cut off from reality, lost all sense of time and space, Rana plunged into memories and dreams. Guy decides that they need to travel. After leaving the city, they were among the untouched nature and abandoned villages. Travel brings to mind pictures of the past, and eventually leads to their way home in the mountains, where Guy spent his childhood.	Chinese
Book of Love	2016	comedy	Xue Xiaolu	Tang Wei, Wu Xiubo, Paul Chun, Kara Hui, Wang Zhiwen, Lu Yi, Zu Feng, Liu Zhihong, Cherry Ngan	"Jiao Ye (played by Tang Wei) is a casino hostess in Macau who accompanies customers as they gamble and earns a living from their tips. Her father, who brought her to Macau from mainland China, was an inveterate gambler who has since died, leaving her with a large pile of debts and a gambling habit of her own. Despite this, she is a good-natured girl who balances her money problems with a longing to find some meaning in her life and a boyfriend she has feelings for.
Daniel Luo (Wu Xiubo) is a real estate broker in Los Angeles who moved there with his parents from Beijing 20 years prior, although they subsequently divorced and both returned to China. Daniel has since built an outwardly successful life for himself in California, selling properties to wealthy Chinese buyers, but his parents' divorce when he was young still affects him, and he refuses to get into any kind of close emotional relationship.
Both Jiao and Daniel come across an old book, ""84 Charing Cross Road"", which tells the story of New York writer Helene Hanff and her 20-year correspondence with British bookseller Frank Doel, whose shop was at 84 Charing Cross Road in London. Daniel and Jiao, both in foul moods and blaming the book for recent misfortunes in their lives, decide to get rid of it by mailing the book to the address in the title. Unbeknown to either of them, the current proprietor of 84 Charing Cross Road, Mr Thomas, is an elderly gentleman who enjoys matchmaking and redirects the letters from Jiao and Daniel to each other.
Over the course of the next year, Daniel and Jiao begin a regular correspondence by sending letters to 84 Charing Cross Road, each believing the other to be a Chinese person living in London. Mr Thomas continues forwarding their letters without their knowledge. The letters are hostile at first, but eventually a genuine friendship develops. Jiao incurs a large debt and accompanies a rich client to Las Vegas to pay it off. Meanwhile, Daniel befriends an elderly Chinese couple who own a house he wants to buy, but since he knows they would never approve of his plan to tear their house down and replace it with two new ones, he tries an underhanded tactic to trick them into selling. As part of his plan, he also takes them to Las Vegas for a vacation, and nearly crosses paths with Jiao several times, although neither knows what the other looks like.
Daniel begins to feel guilty about what he is doing, and his plan is eventually found out by the old couple. Jiao's relationship with her client ends, and she and Daniel console each other through their letters. Around the same time, they also both decide to reveal their real identities to each other. However, Mr Thomas passes away before the letters admitting their identities can be forwarded on, and both Jiao and Daniel believe the other person has decided to break off the relationship. They also have no way of getting in touch with each other anymore.
Realizing their growing feelings for each other, and desperately seeking news of what has happened to the other person, Daniel and Jiao travel separately to 84 Charing Cross Road, where they learn the truth about who has been forwarding their letters, and are also told about Mr Thomas's upcoming funeral. At the service, they just miss finding each other, although Daniel realizes that Jiao was also in attendance when he sees a tribute card she leaves for Mr Thomas at the funeral. However, none of their attempts to locate the other person work. Having given up, both Daniel and Jiao return to 84 Charing Cross Road one last time to leave a farewell letter, where they finally meet. The film ends as the two stroll through London's South Bank at night, chatting about their lives."	Chinese
Ted 2	2015	comedy	Seth MacFarlane	"Mark Wahlberg
Seth MacFarlane
Amanda Seyfried
Morgan Freeman"	"John Bennett has been divorced from Lori Collins for six months. Meanwhile, his best friend Ted, marries his girlfriend, Tami-Lynn. One year later, following a heated argument, they decide to have a child. As Ted can not have children, John agrees to help Ted find a sperm donor, They asked Sam J. Jones but he refuses due to a low sperm count. Then they try to unsuccessfully break into Tom Brady's house and steal his sperm. Ultimately, John offers to donate his sperm.
Despite Ted and John's efforts, Tami-Lynn's historical drug use has rendered her infertile and the couple decide to adopt. As background checks are carried out, Ted brings his legal status as a person into question. The state authorities of Massachusetts declare Ted property rather than a person, resulting in the loss of his job at a grocery store - shortly after reassuring a customer that buying a box of Trix, as an adult, will not bring him to any harm. Furthermore, Ted's credit card and bank accounts are frozen while his marriage to Tami-Lynn is annulled.
John suggests that they take the state to court, and their case is assigned to a novice lawyer pro-bono, Samantha Leslie Jackson. The three bond over their love of marijuana as they prepare to present the case.
Meanwhile, Donny, Ted's life-long stalker and would-be abductor, is now employed as a janitor at the headquarters of toy company Hasbro, in New York City. He convinces the company CEO to hire an expert attorney to ensure that Ted maintains his status as property, therefore leaving him open to seizure by the firm to create more living teddy bears.
Despite Samantha's best efforts, the court rules against Ted. Disheartened but desperate, the trio contact Patrick Meighan, a highly respected civil rights attorney, hoping he'll take the case and overturn the court's decision. Driving to Manhattan to meet him, Ted crashes into a hidden marijuana patch, where Samantha and John realize their attraction for each other. The next day, the trio meet Meighan, who is sympathetic to Ted's plight but ultimately refuses the case, as he believes he has not significantly contributed to humanity due to his juvenile slacker lifestyle.
Ted, angry at the injustice and jealous of Samantha and John's new relationship, wanders off. Donny follows him as he wanders into the New York Comic-Con. Once inside, Donny attempts to kidnap Ted, who flees and contacts John for help. John and Samantha arrive at Comic-Con and search for Ted, arriving as Donny is about to cut him open. As they make their escape, Donny cuts the cables holding up a model of the USS Enterprise and it swings towards Ted. John pushes Ted out of the way, takes the hit, and is knocked unconscious. Ted identifies Donny and he is arrested.
At the hospital, Samantha, Ted and Tami-Lynn rejoice when John recovers. Patrick Meighan decides to take the case, telling them he has been inspired by John's selflessness and Ted's emotions over his fallen friend. Meighan gets the ruling overturned by demonstrating that Ted is self-aware, that he feels complex emotions, and is capable of empathy. Outside the court, Ted re-proposes to Tami-Lynn. After they are re-married, Ted and Tami-Lynn, adopting the surname of ""Clubberlang"", adopt a baby boy, whom they name Apollo Creed, while John and Samantha happily pursue their own relationship."	American
Detective Chinatown	2015	comedy	Chen Sicheng	Wang Baoqiang, Liu Haoran, Tong Liya, Chen He, Xiao Yang, Xiaoshenyang, Pan Yueming, Marc Ma, Zhang Zifeng, Zhao Yingjun, Sang Ping, Chin Shih-chieh	"After being rejected from the police college, Qin Feng (Liu Haoran) goes to Bangkok for a vacation. He plans to spend time with his ""uncle"" Tang Ren (Wang Baoqiang) who is reputed to be the number one detective of Chinatown in Bangkok. Tang Ren turns out to be a sleazy petty swindler who happens to be an underling of local incompetent police sergeant Kon Tai (Xiao Yang). Meanwhile, the main suspect in a local gold robbery case, Sompat, is murdered and the gold goes missing. The gold belongs to prominent local gangster Mr. Yan (Chin Shi-chieh). Kon Tai and his rival in the police department, the ambitious Huang Landeng (Chen He) are put into competition to solve the crime with the person who solves the crime and retrieves the gold to be appointed the next deputy Chief.
Tang Ren becomes implicated as the main suspect in Sompat's murder as he is the last person the enter the premises where Sompat is murdered. He is sought by Sompat's cohorts who wish to locate the now lost gold. Tang is also sought by Mr. Yan's gang and the local police as he is supposedly the only person who knows where the gold is. Tang seeks Qin's help who turns out to be a prodigy in solving crimes from the knowledge Qin garnered as a mystery novel lover.
As they follow leads to find Sompat's actual killer, they come across Snow (Zhang Zifeng) whose father appears to have the most motive to kill Sompat.
After a few false leads, Qin is eventually able to recover the gold and exonerate Tang."	Chinese
21 and Over	2013	comedy	Jon Lucas and Scott Moore	Miles Teller, Skylar Astin, Justin Chon, Sarah Wright	"Friends since high school, Casey and Miller are both over 21 and want to take their best friend Jeff Chang out for his 21st birthday while visiting him at college. Jeff insists he can't, citing the important medical school interview he has to be ready for at 8am the next morning. Miller threatens to make a lot of noise, keeping Jeff up all night, if he refuses to come out. Jeff eventually accepts, but only for one drink.
At the bar, Jeff accidentally hits a boy named Randy with a dart. Randy gets aggressive, and the trio have to flee, which interrupts a nice chat that Casey is having with a girl named Nicole. Excited that he is now allowed to enter bars, Jeff drinks too much and becomes unresponsive. Casey and Miller decide to take him home, but they cannot remember where he lives. Because Nicole knows Jeff, they attempt to find her to ask her where he lives. They sneak into the sorority house that they think Nicole lives in, but it is the wrong house, and is instead filled with Latina students.
Along the way, they encounter two blindfolded women preparing to be paddled as part of their sorority initiation ritual. Miller has the women make out with each other, but they and the other women of the house are furious when they discover the intrusion. Once again, the boys have to flee, and Casey and Miller throw Jeff from a balcony onto a pool cover in order to escape. Jeff bounces off the cover into a rose garden, and the two worry that they killed him. They find him uninjured. Surprisingly, he is still willing to party.
They finally find Nicole, but she does not know Jeff's address, and instead refers them to her boyfriend, who turns out to be Randy, the boy whom Jeff had hit with a dart earlier. Randy refuses to look up the address in his phone, so Miller threatens him (using a gun that they found in Jeff's pocket), trying to steal the phone. Miller shoots into the air, panicking a buffalo and prompting it to attack people, including Randy. At the address taken from Randy's phone they discover that Jeff no longer lives there, and that there is a party being thrown. They join in on party games in order to access a boy who may know Jeff's current address. The party games include a drinking game against a group of Serbian party-goers.
When they finally find the boy who may know Jeff's address, they are disappointed to discover that he does not actually know it. They leave Jeff in the care of two stoners who undress him for fun, write ""Douchebag"" on his forehead, dress him in a lacy bra and glue a teddy bear to his penis. After leaving the party, Jeff goes out on the street still naked except for the teddy bear and the bra. Casey and Miller go after him to get him dressed, but he evades them and is apprehended by the police after running atop several cars and being a public disturbance. Casey and Miller go to the campus police station where they are told that Jeff has been transferred to the psychiatric unit. A woman offers to escort them to the hospital, but it is actually a trap set by the Latina sorority. They take revenge on Casey and Miller, who leave with buttocks branded and bruised by spanking. They have to walk across campus wearing nothing but socks on their penises until they get new clothes. In the mental health facility, Casey and Miller ask if they can take Jeff home, but the hospital refuses citing that Jeff is on a 24-hour hold. The two also learn that Jeff has attempted suicide before due to stress. They also encounter Nicole, who has broken up with Randy after he was injured by the buffalo.
Casey and Miller then learn Jeff's address from a man named ""Chief"", who states he lives next door to Jeff and thus realise they drove past Jeff's house several times (thinking the Chief had simply been moving around). They go to Jeff's room, smuggle him out of the window and throw him atop a car from the third floor. They worry that they killed him again, but somehow Jeff avoids injury. Awakened by the fall, Jeff steals the car on which he has landed (which turns out to be Randy's). The three boys flee with Jeff driving recklessly. During their reckless driving, police catch up to their tail but the trio manage to evade the police with Jeff steering the car over an overpass. Miraculously, they land without injury.
The boys finally arrive to Jeff's apartment with minutes to spare to get him ready for his medical school interview. They pull the teddy bear off (accidentally circumcising him in the process), shower and dress him. Randy goes to Jeff's home to destroy the room, but Jeff's father arrives and apprehends him. Encouraged by Casey and Miller, Jeff confesses to his father, who pressured him into going to medical school, that he does not actually want to. His father refuses to accept this and even insults his own son. Miller becomes angry for the way Jeff's father is treating his son and punches him. Jeff tells his dad to leave which he does. Randy admires Jeff for standing up to his father, and the two reconcile. Casey realises he has fallen in love with Nicole, and runs to her house, where they kiss.
Three months later, Miller, who is intelligent but lazy, improves his grades and wants to go to university. The night before his admissions interview, he is at a music festival with Casey, Nicole (who is now dating Casey), and Jeff. He has a wild night and arrives to the professor's office with red hair, a broken leg, and a coroner's uniform profusely apologizing for his current state. The professor turns out to be the ""Chief"" that they repeatedly saw dancing alone in the street on the night of Jeff's 21st birthday."	American
A.C.O.D.	2013	comedy	Stu Zicherman	Adam Scott, Amy Poehler, Jessica Alba, Jane Lynch, Richard Jenkins	A content and successful man decides to revisit a former counselor to make sense of his brother's wedding and his parents' extremely messy divorce. When he realizes his life has been personified in a book about children of divorce written by his mediocre counselor, he decides to confront his family about their dysfunctional nature.	American
