job_title,job_ad_details,nation_short_desc
Administrative Executive,"<div><div>
<p>On behalf of the hiring company, we are looking for suitable personnel to join them as an Administrative Executive</p>
<p><strong>Responsibilities</strong></p>
<ul>
 <li>Prepare schedule letters quotations for customers and follow up</li>
 <li>Coordinate with internal and external stakeholders to ensure work success.</li>
 <li>Input and maintain data in systems</li>
 <li>Handle incoming and outgoing correspondence, including emails, phone calls, and mail.</li>
 <li>Organize and file documents according to established procedures.</li>
 <li>Any other duties assigned from time to time</li>
</ul>
<p><strong>Requirements</strong></p>
<ul>
 <li>Diploma in Business or related discipline</li>
 <li>Minimum 1 year of relevant experience</li>
 <li>Comfortable in communicating with clients</li>
 <li>Able to work well independently and in a team</li>
 <li>Comfortable working in an engineering environment</li>
 <li>Well-versed with Word, Excel, and process systems</li>
 <li>Attention to detail and accuracy.</li>
</ul>
<p>Work location: East (short working distance to MRT)</p>
<p>EA License: 22C0971 | R21101298</p>
</div></div>",SG
Software Engineer,"<div><strong>Job Description</strong><ul><li>ST Engineering Geo-Insights Pte Ltd is a data analytics company focused on generating insights from geospatial data and remotely sensed data. We are looking for potential team members who are keen and passionate about implementing technological solutions to solve real-world problems. Besides the joy of seeing your work delivering value to global technological advancement, there are opportunities to publish research on top research platforms. You can look forward to a growth-oriented career in a supportive and fast-paced environment.</li></ul><div><strong>Job Responsibilities</strong></div><div> </div><div>The software engineer role covers a wide range of design, development, and testing activities for Geo-Insights’ cloud-based imagery delivery and analytics platform for our consumers. We work collaboratively with other teams to launch new features and scale our infrastructure to ensure the platform runs optimally for the needs of our customers.</div><ul><li>Design and maintain the overall architecture of the cloud platform in AWS</li><li>Troubleshoot and resolve issues within the software delivery pipeline stages</li><li>Design and develop new platform features UI/UX in a disciplined and sustainable way</li><li>Implement high-quality and maintainable production code using relevant design patterns</li></ul><div><strong>Job Requirements:</strong></div><ul><li>Masters / Degree in Computer Science or equivalent</li><li>At least 5 years of relevant work experience in software development</li><li>Proficient in NodeJS, Python, TypeScript programming</li><li>Proficient in frontend frameworks – e.g. React, Angular, Bootstrap, etc.</li><li>Proficient in developing backend services using Restful APIs</li><li>Familiarity with any RDBMS or Non-SQL DB – e.g. MySQL, PostgresSQL, MongoDB</li><li>Experience with AWS cloud deployment and Git</li><li>Motivated and proactive, able to work as a team, and results oriented</li><li>Location: Ang Mo Kio</li><li>Singaporean only</li></ul></div><div> </div>",SG
Structured Lending Specialist - (246951BR),"<p><strong>Your role</strong></p><p><br /></p><p>Are you a strong analytical and inventive thinker?</p><p><br /></p><p>Do you enjoy developing pitch ideas for stakeholders, clients and investors?</p><p><br /></p><p><strong>We’re looking for a structured lending specialist to:</strong></p><p><br /></p><ul><li>Provide sales coverage for Global Wealth Management clients on the whole spectrum of lending capability of the bank</li><li>Entertain clients conversation in order to understand their objectives, risk tolerance and expectations</li><li>Structure bespoke lending solutions in order to meet client's need</li><li>Prepare the relevant credit memo reflecting the transaction request</li><li>Work together with all relevant stakeholders in particularly with the portfolio underwriter in order to obtain approval of the requested transaction</li><li>Generate new ideas and creative approaches that push the business forward</li><li>Identify and meet client needs, coordinating and working alongside senior colleagues and investors</li></ul><p><br /></p><p><strong>Your team</strong></p><p>You’ll be working in the Global Banking Lending team in Singapore. Our team is responsible to provide full range of asset backed financing solutions across bank's capabilities in Wealth Management and through our partners in Investment Banking. As a structured lending specialist you’ll play a vital role in making sure we help clients meet their funding requirements and provide a positive client's experience in dealing with our bank.</p><p><br /></p><p><strong>Your expertise</strong></p><ul><li>Ideally 1-2 years of sales experience in structured lending to Wealth Management clients</li><li>Excellent knowledge of financial markets, corporate analysis and in credit/lending business</li><li>Adept communicator and collaborator, able to adapt style to audience</li><li>Passion for following market developments and understanding both current and anticipated trends</li><li>Driven, with ability to thrive in a high-paced environment with a consistently professional manner, creative with exemplary integrity</li></ul>",SG
Executive (Sales / Social Media),"<div><div>
<strong><strong>Key Responsibilities</strong></strong><br />
<ul>
 <li>To enhance sales traffic and brand awareness.</li>
 <li>To reach out to potential corporate clients in order to generate new corporate event accounts and secure partnerships.</li>
 <li>To extend collaboration opportunities with existing corporate clients.</li>
 <li>To attend corporate classes / event enquiries and requests and related admin work.</li>
 <li>To coordinate and manage corporate / community events, roadshows, and marketing campaigns.</li>
 <li>To invoice clients.</li>
 <li>To manage assignment of instructors for events.</li>
 <li>To maintain instructors' records on Sharepoint.</li>
 <li>To support the preparation of monthly instructor’s payroll and profit-sharing reports.</li>
 <li>To create, manage, and optimise social media ad campaigns to achieve sales / brand awareness.</li>
 <li>To design and run brand development initiatives such as:</li>
</ul>
<p>- Seeking venue sponsors to organise community workouts.</p>
<p>- Having more corporate events.</p>
<p>- Getting Sponsorships for the brand.</p>
<strong><strong>Accountability</strong></strong><br />
<ul>
 <li>Reports to Head (Business Development &amp; Operations)</li>
</ul>
<strong><strong>Competency Requirements</strong></strong><br />
<p><strong>Core Competencies</strong></p>
<ul>
 <li>
<strong>Communication: </strong>Excellent interpersonal and communication skills for effective communication with residents, team, community partners, and stakeholders.</li>
 <li>
<strong>Leadership:</strong> Excellent team player with strong leadership and responsibility skills.</li>
 <li>
<strong>Customer Orientation:</strong> Commit to exceeding both internal and external clients’ needs. Proactively identify clients’ needs and sustain a culture of service excellence within the organisation.</li>
 <li>
<strong>Adaptability: </strong>Strong team player who is resourceful, adaptable, and able to perform multitasks under a given timeline.</li>
 <li>Good organisational and project management skills.</li>
 <li>Self-motivated individual with the ability to work independently.</li>
</ul>
<p><strong>Technical Competencies</strong></p>
<ul>
 <li>Proficiency in IT Systems and Microsoft Office Suite (e.g., Microsoft Word, Excel, PowerPoint, etc.).</li>
</ul>
<p><strong>Education and Experience:</strong></p>
<ul>
 <li>Minimum Degree or Diploma in relevant disciplines</li>
 <li>At least 2 years of relevant working experience in similar sectors</li>
</ul>
<p>The intent of this job description is to provide a representative summary of the major duties and responsibilities of the position. You may be required to perform job-related tasks other than those specifically presented in this description. This job description does not constitute a contract of employment.</p>
</div></div>",SG
Business Operations (Admin/Accounts) Executive and/or Intern,"<p>Contract, Flexi-work hours, Internship/Attachment</p>
<p><strong>Job Description </strong>As a Business Operations Executive and/or Intern, you will learn to play a vital role in supporting our key executives to ensure a smooth operations of our business.</p>
<p><strong>Key Responsibilities</strong></p>
<ul>
 <li>Liaising with suppliers (procurement and shipment)</li>
 <li>Stock management</li>
 <li>Data entry</li>
 <li>Filing documents.</li>
 <li>Assist in day-to-day operation administrative tasks.</li>
 <li>Any other task as assigned.</li>
</ul>
<p><strong>Requirements</strong></p>
<ul>
 <li>Minimum GCE ‘N’ and ‘O’ level or ITE certificate (book keeping)</li>
 <li>Ideally have at least 2 years of relevant working experience</li>
 <li>Proficient in Microsoft Word and Excel</li>
 <li>Good time management and planning</li>
 <li>Attention to detail.</li>
 <li>Ability to communicate in Mandarin is an added advantage</li>
 <li>Good oral and written communication and interpersonal skills.</li>
 <li>Proactive, eager to learn, and able to work independently as well as in a team</li>
</ul>
<p>ONLY SHORTLISTED CANDIDATES WIL BE CONTACTED</p>",SG
Transportation Logistics Administrator M/F #Urgent #seekbetter #WorkNow...,"<strong>Job description</strong><ul><li>Assist AMK TL Manager/Supervisor in managing day to day operation activities and supervising the In-plants performance and Site Trucking Performance</li><li>Liaise and coordinate with Internal and external parties in the supply chain shipment execution</li><li>Managing the spare parts, raw materials, engineering lots and semi-finished goods Equipment movement as required by the internal customer, at the best value</li><li>Preparing Management Reporting and stabilizing the Freight Accounting process in AMK, i.e.: Freight Validation, Freight Accrual and Freight KPI etc</li><li>Managing or participating on some projects on site related to Transportation.</li></ul><p></p><strong>Profile</strong><ul><li>Preferable with 2-3 years experience in Manufacturing Transportation Logistics, Freight forwarding or equivalent.</li><li>Proficient in Microsoft Office ( (eg vlookup, pivot table etc)</li><li>Possess knowledge in import/export and customs compliance processes would be an added advantage</li><li>Diploma or degree holder are welcome.</li><li>Positive , enthusiasm and good personality</li><li>Guidance and in-house training are provided, Able to work on shift and weekend</li></ul>",SG
Customer Success Executive,"<div><div>
<strong><b>Overview</b></strong><br />
<p>Oracle is a technology leader that’s changing how the world does business. We’re looking for an experienced and self-motivated person. We appreciate you taking the time to review the list of qualifications and to apply for the position. Come and join us! </p>
<p>As Oracle SaaS Customer Success Services (CSS) team, our mission is to ensure the success of our SaaS install base, help our customers drive value from their investment in our SaaS applications while deploying more and expanding their usage. Oracle has the most complete and unified portfolio of modern, cloud based business applications on the planet and a large and successful customer base. </p>
<p><b>Description</b></p>
<strong>What You’ll Do</strong><br />
<p>The objective of the Customer Success Executive (CSE) is to maximize customer retention and expansion by facilitating activities and guiding them to the solutions value while also driving increased SaaS revenue.  The CSE works at a strategic level across all product pillars in the cloud, leading teams in the delivery and continuous improvement of large scale transformational cloud projects.  In this role you will act as an enabler and trusted advisor to the customer to ensure they remain successful and engaged with their entire Cloud solution so they understand the full value of their investment with Oracle. For this role you will need to be definitive in your goals but flexible in your approach. As part of the role you will continuously improve on your network and internal relationships, working closely with sales, implementation success managers and customer success managers to enable further adoption of Oracle products within your customers.  You are one team, all responsible for delivering value to the customer with strong product knowledge and discovery expertise.</p>
<p>You will be responsible for delivering consistent, adherent and diligent collaboration with the internal stakeholder teams and will work collaboratively with them to deliver activities that fit with the strategic direction of the customer over the entire cloud estate.  </p>
<p>As a Customer Success Executive, you will: </p>
<p>·         Collaborate with the Sales Manager and broader account team to develop and deliver an overall account strategy and plan for the customer, that directs company resources to encourage renewal and return of investment cross pillar.</p>
<p>·         Develop and maintain a continuous close relationship with the relevant Account Team throughout the customer lifecycle.</p>
<p>·         Facilitate relationships across various customer teams, brands, and/or departments to further strengthen Oracle’s partnership with customers.</p>
<p>·         Regularly provide visibility of account at an executive level both internally and externally, defining progress against customers’ business objectives; any metrics that define success to the customer (ROI); and identifying risks and appropriate mitigations.</p>
<p>·         Deliver regular business reviews and success plans to senior executives and key business stakeholders.</p>
<p>·         Coordinate cross pillar activities across the account to ensure significant milestones for your customer such as upgrades, new releases and new features are managed effectively and with no adverse impact on co-existing pillars and identifying lessons learnt for future milestones within or across pillar.</p>
<p>·         Engage and understand the customers cloud strategy within and cross pillar in order to guide the customer by providing resources that can assist their strategic business direction across pillar.</p>
<p>·         Support other CSMs in their role acting as a ‘coach’ in working effectively with the customers support service to ensure it is being effective for enhancement requests and escalations.  </p>
<p>·         Develop a strong relationship with the senior leadership in your customer on a technical and business level.</p>
<p>·         Support in collaborating with Oracle’s Reference team to ensure ‘reference fatigue’ is avoided and customers can take advantage of our reference program.</p>
<p>·         Understand the value of the internal Oracle processes and tools available to assist your search for answers and for pro-active planning.</p>
<strong><b>Required Skills/Experience</b></strong><br />
<p><b>What You’ll Bring</b></p>
<p>You have that rare combination—a sharp technical brain and a head for business. You’ll use this to help customers achieve real-world success with our products. We also look for:</p>
<p>·         Experience in a customer facing role involving cloud based/SaaS technology with collaboration of senior stakeholders.</p>
<p>·         Proven ability to delivery complex projects with multiple internal and external stakeholders.</p>
<p>·         Proven ability to develop and cultivate lasting customer relationships with limited resources.</p>
<p>·         Strong technical understanding around cloud solutions, operating concepts and infrastructure (cloud, integration, lifecycle management etc).</p>
<p>·         Experience in delivering continuous improvement and change effectively to organisations.</p>
<p>·         Project management and delivery including effective risk management skills.</p>
<p>·         Pro-active commercial acumen.</p>
<p>·         Leadership and effective influencing skills.</p>
<p>·         Written and verbally communicate a complex message in a simplistic way.</p>
<p>·         Team working and collaboration.</p>
<p>·         Resilient, managing pressured situations effectively.</p>
<p>·         Confident and engaging presentation skills, personable, positive, approachable &amp; tenacious with effective objection handling skills.</p>
<p>·         Extremely diligent &amp; succinct organisation &amp; communication skills.</p>
<p>·         Strong desire to learn and develop personally.</p>
<p>·         Strong time management work ethic and focus on delivery.</p>
<p>·         Able to travel at short notice 50% of the time.</p>
<p>·         Mirroring &amp; ability to engage and be engaging at all levels.</p>
</div></div>
<div><div>Drive maximum adoption of Oracle solution and identify/drive product expansion opportunities via high value relationship with the client.<p>Develop long term partnership with our clients to ensure they remain successful by realizing the full value of their investment with us to ensure client continues/replenish/renews contract with Oracle. Responsible for maintaining a high level of client satisfaction by being a liaison between our clients and Oracle's internal operations. Identify product expansion/up sell opportunities. Work with larger clients. Provide input into the CSM methodology and direction. Act as mentor to newer CSMs on a voluntary basis.</p>
<p>Leading contributor individually and as a team member, providing direction and mentoring to others. Work is non-routine and very complex, involving the application of advanced technical/business skills in area of specialization. Recommended 7 to 10 years of professional experience. Demonstrated experience in implementation or client facing relationship experience. Understanding of various technical architectures and operating systems. Industry experience is desired.</p>
</div></div>",SG
Assistant Manager (Project/Supply Chain),"<div><strong>Job scope:</strong></div><div> </div><div>Financial performances: -</div><div>- SAP management &amp; reporting<br />- Financial performance reporting<br />- Claims / in–kind data preparation &amp; submission</div><div> </div><div>Collaboration coordination</div><div>- Establish services / collaboration agreements<br />- Follow through collaborations<br />- Apply funding supports</div><div> </div><div>Project management /customer engagement</div><div>- Marketing &amp; sales support<br />- Customer engagement and scope of work formation<br />- Quotation /proposal /tender preparation<br />- Proposal of project team<br />- Managing &amp; reporting of project schedule, milestone, deliverables and budget to ensure on time delivery as per contract requirements<br />- Executing project by leading the project team and supply chain to fulfill the contractual obligation<br />- Organising and conducting project design review / customer review<br />- Completing project with closure of acceptance of deliverables and financial aspects</div><div> </div><div>Supply chain management /Supplier development /purchasing</div><div>- Vendor development<br />o 3D printing vendors<br />o Post process<br />- Supply chain management<br />o 3D printing<br />o Post processing (surface treatment/enhancement; material treatment/ enhancement)<br />o Other manufacturing, such as CNC, injection molding<br />o Test facilities<br />o Assemblies<br />o Material suppliers<br />- Purchasing<br />o Sourcing<br />o Quotations<br />o End-to-end follow through</div><div> </div><div>Complimentary Roles: -</div><div>- Department operational support<br />- Inter-company activities<br />- Aircraft survey /Engineering activities</div>",SG
Strategy Director (Creative),"<p>Strategy Director (Creative) page is loaded
Strategy Director (Creative)</p>
<p>Apply</p>
<p>locations</p>
<p>Singapore</p>
<p>time type</p>
<p>Full time</p>
<p>posted on</p>
<p>Posted Yesterday</p>
<p>job requisition id</p>
<p>R1067957</p>
<p>The purpose of this role is to manage senior strategists and planner/junior on pitch strategy as well as day-to-day client strategy needs on a single account or group of accounts – guiding insight generation, creative briefs, selling narratives, strategic POVs and go-to market plans</p>
<p>Job Title:
Strategy Director (Creative)</p>
<p>Job Description:
About Us
We are Dentsu Creative.
We believe brands aren’t built like they used to be, and audiences aren’t either. Three forces are driving this change.
First, most CMOs and CEOs want to acquire more customers with less investment. Second, great brand ads don’t create a great brand experience. Finally, too much of the money being spent by marketers is easily ignored as attention is harder to grasp than ever.
We believe you can’t grow a brand if people don’t notice what you create. People don’t see the expected. People don’t see the predictable. The familiar is too often forgotten. Which is why we create The Never Before.
The Never Before is the most elusive of ideas. The one you never saw coming, but you will never forget. The kind that turns the expected on its head. The Never Before doesn’t have a template. There are no guidelines. It will make you nervous, good nervous. But if it gets made, it will make everyone else jealous. Yes, people will have ‘concerns’. But that’s how you know you’re close. Because work like this has never been done before.
About You
Above all, you love it when clients say, “Why haven’t we thought of that before?” after presenting your thinking.
You want to be a very senior strategic brain across key accounts in the Dentsu Creative Singapore business.
You want to lead the brand and communications strategy for Dentsu Creative clients, in partnership with the client and creative leads.
You are knowledgeable in brand management and can apply the proven principles of growth to any category.
You are strong at brand diagnostics and turning the findings into effective strategy and tactics.
You can help architect long-term business and brand strategies for large clients.
You are focused on unearthing and articulating ‘never-before’ insights to inspire world-class creative work.
You generate excitement around an array of creative opportunities and champion creativity in the client organization.
You know how to champion a brand’s purpose/positioning and ensure that it lives across all key touchpoints and communications.
You don’t just make briefs; you shape them and can proactively identify new opportunities for great creative work.
You can mentor junior members of the team with clarity and consistency, helping others to grow and develop.
You champion a culture of effectiveness, ensuring every dollar spent generates a return.
You can command a room, craft a compelling story, sell it, and form long-lasting relationships.
Your Partners
Chief Strategy Officer ANZ</p>
<p>Client Leads</p>
<p>Chief Creative Officer / Creative Directors</p>
<p>Junior strategists</p>
<p>KPIs
Organic Client Growth: &gt;10% per annum (targeting most strategically important growth clients in your portfolio).</p>
<p>Planning Satisfaction Results (TRR): TBC based on client mix.</p>
<p>Net New Client Growth: &gt; value greater than $250K per annum.</p>
<p>2+ pieces of ‘never before’ work – measured by Effies, Lions, Spikes, or Contagious</p>
<p>recognition.</p>
<p>Dentsu Values
Will live the dentsu 8 Ways at all times: We Dream Loud, We Inspire Change, We Team Without Limits, We All Lead, We Make It Real, We Climb High, We Choose Excitement, We Are A Force For Good
Keeping connected
Please visit our website to find out more and connect with us on social.
Click HERE
# LI-DNI
Location:
Singapore</p>
<p>Brand:
Dentsu Creative</p>
<p>Time Type:
Full time</p>
<p>Contract Type:
Permanent</p>
<p>#J-18808-Ljbffr</p>",SG
Research Fellow - [2D integrated Si Photonics] #WorkNow,"<div>A Research Fellow position is available in the School of Electrical &amp; Electronic Engineering, Nanyang Technological University, Singapore. We are seeking a highly talented candidate who are highly motivated with a project to conduct the research on integrating optical functions of atomically thin two-dimensional (2D) materials into silicon (Si) photonics for information processing and beyond, exploring their application as a new class of optoelectronic devices.</div><div> </div><div><b>Job Responsibilities</b></div><ul><li>Design, fabrication, and characterization of Si-based photonic devices</li><li>Development new class of photonic devices by integrating 2D materials and vdW heterostructures</li><li>Phase change materials (PCM), Electro-optic (EO) materials integration for the hybrid photonics</li><li>Installation of Si photonics characterization setup and oversee the progress of the project</li></ul><div><b>Job Requirements</b></div><ul><li>PhD in relevant area (electrical engineering, materials science, and physics)</li><li>Research background in solid state physics, applied physics, semiconductor materials, nanomaterials is preferred</li><li>Research experience in photonics characterization, such as E-O modulation, optical resonator</li><li>Prior cleanroom fabrication and device experience</li><li>Independent and can work well with a teamWe regret that only shortlisted candidates will be notified.</li></ul>",SG
Membership Executive Support [Admin / Monthly Reports / Membership tasks],"<div><div><strong>Attractive Salary</strong></div><div> </div><div><strong>Changi</strong><br /><strong>Career Progression Opportunities</strong></div><div>Interested applicants can send your resume to <strong>jsjunlim0212@hotmail.com</strong> and allow our Consultants to match you with our Clients. No Charges will be incurred by Candidates for any service rendered.</div></div><div> </div><div> </div><div><strong>RESPONSIBILITIES</strong></div><ul><li>Regular use of the system database to perform routine membership-related tasks.</li><li>Producing and updating the Company’s marketing materials, procedures, and guidelines.</li><li>Producing monthly reports</li><li>Providing administrative and operations support for the membership team.</li><li>Responding to membership's queries.</li><li>Ad-hoc duties assigned by HOD</li></ul><div><strong>QUALIFICATIONS</strong></div><ul><li>Diploma in Business, Communications, or related fields</li><li>Two years of relevant working experience</li><li>Competent in Microsoft Excel, Word, and PowerPoint</li><li>Good oral and written communication skills.</li><li>Meticulous, detail and good organization skills</li><li>Team player and ability to work well under pressure.</li><li>Positive and keen to learn attitude.</li></ul><div> </div><div><strong>Requirements and Skills</strong></div><ul><li>Supervise daily operations of organization</li><li>Communicate customers issues (internal / external) and devise ways of improving the customer experience including resolving problems and complaints.</li><li>To organize events / activities to build and maintain rapport with parents and students</li><li>To conduct periodical Customer Satisfaction Survey</li><li>Maintain safe and healthy work environment in complying with the authorities regulations</li><li>Develop productive, profitable and achievement oriented working environment</li><li>Tackles operational issues in an effective and professional manner</li><li>Good communication skills, organizational skills, leadership and interpersonal skills</li><li>Develop and maintain operational guidelines for staffs</li><li>Coordinate with Manager/Superior in different operational issues and marketing promotional activities</li><li>Evaluate current operational strategies and recommend improvements.</li><li>Any other duties as assigned by the management</li></ul><div> </div><div><strong>Please include the following in your Resume Document <br />(*.DOC/PDF - Files should not exceed 2MB)<br />   • Name<br />   • Contact No.<br />   • Nationality/PR Status<br />   • Location/Address<br />   • Recent Photo<br />   • Expected Salary</strong></div>",SG
Engineering Recruiter (Sales / Staffing / Tele-Sales / Cold-Calling),"<p><strong>Responsibilities</strong></p><ul><li>Perform full spectrum of HR recruitment functions including job posting, shortlisting and interviewing</li><li>Provide career advices</li><li>Identify &amp; develop new business opportunities</li><li>Provide professional consultation to both clients and jobseekers</li><li>Provide excellent services and follow-up regularly with clients and candidates</li></ul><p></p><p><strong>Requirements</strong></p><ul><li>Results-driven and self-disciplined with an achiever mind-set</li><li>Ability to work in a dynamic and challenging environment</li><li>Candidates who desire working in a fast-pace environment with good rewards</li><li>Persuasive, Resilience, Driven and willing to take on new challenges</li><li>Excellent interpersonal and communication skills</li></ul><p></p><p>Interested candidates who wish to apply for the advertised position, please click <strong>APPLY</strong> to submit your resume.<strong></strong></p><p></p><p>EA License: 13C6305</p><p>Reg. No.: R1333012</p><p></p><p>For candidate who applied for the advertised position is deemed to have consented to us that we may collect, use or disclose your personal information for purpose in connection with the services provided by us.</p><p></p><p></p>",SG
Cargo Coordinator | Singaporean Only,"<p>Location: Changi Airport<br />Work Week &amp; Shift: 6 days, rotating shift<br />Annual Leave: 12 days</p><p>Job Responsibilities:<br />✅Manage cargo shipments and ensure accurate documentation.<br />✅Engage with airlines, third-party agents, and other stakeholders.<br />✅Oversee a team of cargo handlers and demonstrate strong supervisory skills.<br />✅Handle multiple tasks effectively while communicating with clients.<br />✅Adapt to shift work as required.</p><p>Eng Wai Khoon<br />Reg No: R24119807<br />GMP Recruitment Services (S) Pte Ltd<br />License No: 09C3051<br />&nbsp;</p>",SG
Maintenance Manager / Assistant Maintenance Manager,"<p><strong>Job Description</strong></p><p><br /></p><ul><li>Responsible for the full spectrum of mechanical and technical operations of the building</li><li>Lead and supervise the Maintenance Team and Term Contractors to deliver high quality standards for building maintenance</li><li>Conducts routine inspection of all offices, guest rooms and public areas to ensure facilities are in good condition and corrective actions are taken accordingly</li><li>Recommends to Management on ad-hoc required improvement projects from time to time</li><li>Manages projects and implements preventive maintenance programmes to ensure the company facilities are well-cared for and adequate to support the company's business operations</li><li>Ensures the building safety is in compliance with all regulations set by the local authorities and conducts investigations for non-compliance and develops corrective actions/plans</li><li>Conduct training, drills and exercises in fire safety and ensures that fire safety requirements set by SCDF are fulfilled</li><li>Responsible for budgetary controls and manages costs effectively for all maintenance works</li><li>Undertake any building related duties that may arise from time to time</li></ul><p><br /></p><p><strong>Requirements</strong></p><p><br /></p><ul><li>At least a Diploma in Mechanical and Electrical Engineering or Facility Management</li><li>Minimum 5 years M&amp;E experience in a similar capacity, preferably in hotel, serviced apartment, or office environment</li><li>Fire Safety Manager Certificate or LEW Certificate will be an advantage. Successful candidate without these qualifications but with the required work experience will be sent for Fire Safety Manager Course.</li><li>Strong leadership skills to manage working teams</li><li>Good communication and report-writing skills</li><li>Good project management and budgetary planning skills</li></ul><p><br /></p><p>Please indicate your notice period, current and expected salary package in your application.</p>",SG
Research Fellow (Metabolic Lab) #Seek,"<p><strong>Job Description</strong></p><p><br /></p><p>The National University of Singapore invites applications for <strong>Research Fellow (Metabolic Lab) </strong>in the Department of Medicine, Yong Loo Lin School of Medicine. Appointments will be made on a <strong>1- year </strong>contract basis renewable.</p><p></p><p><strong>Purpose of the post</strong></p><p><br /></p><p>The staff will provide support in managing established research laboratory, in the Department of Medicine, Division of Endocrinology. He/She shall be the overall in charge for lab operations, ensuring strict compliance based on NUS OSHE.</p><p><br /></p><p><strong>Main Duties and Responsibilities - Research</strong></p><ul><li>To perform lab experiments and carry out assigned experiments</li><li>To work on primary human cell culture, molecular biology, biochemistry and microscopy</li><li>To organise, preserve and present the results of the experiments in a logical manner</li><li>To properly and systematically record all experiments that have been assigned and their results</li><li>Modification and validation of methods of scientific research and relevant scientific theories</li><li>To assist in supervising, training and guiding attachment/undergraduate students where required</li><li>Work closely with clinicians, specializes in in vivo physiology and metabolic phenotyping in humans</li><li>To work on the statistical data analysis</li></ul><p><br /></p><p><strong>Main Duties and Responsibilities - Laboratory</strong></p><ul><li>Designated Lab Safety Lead and management existing equipment setup</li><li>To manage and update laboratory safety related documents such as SOPs, Risk assessments, and laboratory personnel safety training certifications</li><li>Designated Biological and chemical spill responder</li><li>Designated First aid responder</li><li>First point of contact for the Institute’s staffs and students on all Safety &amp; Health (S&amp; H) matters, to provide guidance, advice and technical assistance to all related parties to ensure compliance with statutory and other requirements</li><li>Point of contact for RFM and Department of Medicine safety team on lab safety and lab inspection/audit matters.</li><li>Lead lab in all lab safety audits</li><li>Managed disposal of chemical and biohazardous waste</li><li>Conduct safety briefing for new staffs, students and contractors prior to them starting work in the lab</li></ul><p><br /></p><p><strong>Main Duties and Responsibilities - Strategy Planning and Development</strong></p><ul><li>Implement, monitor, plan, coordinate and implement safety management system on site to adopt S&amp;H best practices in the Institute</li><li>Advise and assist with all licence application/renewal/termination</li><li>Managed, plan and coordinate equipment maintenance/calibration and service contracts</li><li>Conduct lab inspection regularly to identify and assess any unsafe condition in the worksite/work practice and to recommend practicable measures to remedy the work condition/practice</li><li>and any other duties as required</li></ul><p><br /></p><p><strong>Qualifications</strong></p><p><br /></p><p><strong>The applicant should:</strong></p><ul><li>PhD in Science/Biochemistry; major in biology, immunology, biochemistry or other related scientific field</li><li>Demonstrated basic knowledge and skills in supporting various research activities;</li><li>Be able to work independently and in a team, have an investigative nature and attention to detail;</li><li>Relevant clinical research and laboratory experience will be advantageous</li><li>Self-driven, independent mature worker, who is well-organized and has the ability to multitask.</li><li>Possess good interpersonal, written and spoken communication skills</li><li>Independent mature worker who is well-organized and multitask</li><li>Able to communicate effectively with other members of the study team</li><li>Strong analytical or quantitative skills</li><li>Experience in statistical software will be advantageous</li></ul><p><br /></p><p><strong>Application</strong></p><p></p><p>Remuneration will be commensurate with the candidate’s qualifications and experience.</p><p></p><p><strong>Formal application</strong>: Please submit your application, indicating current/expected salary, supported by a detailed CV (including personal particulars, academic and employment history, complete list of publications/oral presentations and full contacts of <strong>3 recent</strong> referees to this job portal.</p><p></p><p>We regret that only shortlisted candidates will be notified.</p><p><br /></p><p>Covid-19 Message</p><p><br /></p><p>At NUS, the health and safety of our staff and students are one of our utmost priorities, and COVID-vaccination supports our commitment to ensure the safety of our community and to make NUS as safe and welcoming as possible. Many of our roles require a significant amount of physical interactions with students/staff/public members. Even for job roles that may be performed remotely, there will be instances where on-campus presence is required.</p><p><br /></p><p>Taking into consideration the health and well-being of our staff and students and to better protect everyone in the campus, applicants are strongly encouraged to have themselves fully COVID-19 vaccinated to secure successful employment with NUS.</p><p><br /></p><p><strong>More Information</strong></p><p><br /></p><p>Location: Kent Ridge Campus</p><p>Organization: Yong Loo Lin School of Medicine</p><p>Department : Medicine</p><p>Employee Referral Eligible: No</p><p>Job requisition ID : 18413</p>",SG
